site_id,site_name,suburb
1489,HODDLE / ABBOT,Abbotsford
2458,JOHNSTON O/H LANE E HODDLE GANTRY 8,Abbotsford
2459,JOHNSTON O/H LANE W PARK GANTRY 9,Abbotsford
2460,JOHNSTON O/H LANE E PARK GANTRY 10,Abbotsford
2461,JOHNSTON O/H LANE E RICH GANTRY 11,Abbotsford
2462,JOHNSTON O/H LANE E HUNTER GANTRY 12,Abbotsford
2463,JOHNSTON O/H LANE W TRENERRY GANTRY 13,Abbotsford
2464,JOHNSTON O/H LANE E TRENERRY 14,Abbotsford
2465,JOHNSTON O/H LANE W CLARKE GANTRY 15,Abbotsford
2466,JOHNSTON O/H LANE E CLARKE GANTRY 16,Abbotsford
3373,HODDLE NR STANTON S/B,Abbotsford
3374,HODDLE NR STANTON N/B,Abbotsford
3375,HODDLE NR STUDLEY S/B,Abbotsford
3376,HODDLE NR PETER,Abbotsford
3449,JOHNSTON/PATTERSON,Abbotsford
3456,JOHNSTON NR LULIE,Abbotsford
3457,JOHNSTON/NICHOLSON,Abbotsford
4147,NICHOLSON/GIPPS,Abbotsford
4151,NICHOLSON NR VERE,Abbotsford
4154,VICTORIA NR CHARLES,Abbotsford
4654,VICTORIA/RIVER,Abbotsford
4813,VICTORIA NR JAMES,Abbotsford
4816,VICTORIA/CHURCH,Abbotsford
4820,VICTORIA/FLOCKHART,Abbotsford
2719,BUCKLEY/HOFFMANS,Aberfeldie
3044,BUCKLEY NR BATMAN,Aberfeldie
4432,WAVERLEY NR ALMA (MOONEE VALLEY),Aberfeldie
1466,KEILOR ROAD/NEWMAN STREET/CALDER FREEWAY,Airport West
2723,FULLARTON/MOORNA/CALDER FWY,Airport West
2743,CALDER FREEWAY OFF RAMP/MCNAMARA,Airport West
2864,TULLAMARINE/ENGLISH/MATTHEWS,Airport West
2865,MELROSE/MATTHEWS/DROMANA,Airport West
2866,MELROSE/ MASCOMA/WESTFIELD,Airport West
2874,MATTHEWS NR VICTORY,Airport West
2884,MATTHEWS NR HART,Airport West
2890,MATTHEWS NR FULLARTON,Airport West
4318,MATTHEWS NR EARL,Airport West
4319,MATTHEWS NR HAWKER,Airport West
40469,Calder Fwy Keilor Rd OB,Airport West
40471,Calder Fwy Keilor Rd IB,Airport West
40472,Calder Fwy 900m bef Moorna Dr ex Ramp IB,Airport West
2295,BRIDPORT NR MONTAGUE,Albert Park
2407,PHE/LORNE (X LAKESIDE),Albert Park
2467,QUEENS O'HEAD N LORNE GANTRY 08,Albert Park
3010,BEACONSFIELD/BEACH/PICKLES,Albert Park
3011,BEACONSFIELD NR VICTORIA,Albert Park
3012,BEACONSFIELD/KERFERD,Albert Park
4727,GRAHAM/PICKLES,Albert Park
4729,PICKLES/LIARDET/RICHARDSON,Albert Park
4735,LAKESIDE/LINK,Albert Park
4908,VICTORIA NR DANKS,Albert Park
4910,CANTERBURY NR ARMSTRONG,Albert Park
4917,VICTORIA NR BRIDPORT,Albert Park
4918,CANTERBURY/MILLS,Albert Park
40020,WRR WEST OF ST ALBANS GB,Albion
40144,WRR WEST OF ST ALBANS RD AB,Albion
5828,GILLIES/WINTER,Alfredton
5833,STURT/RING,Alfredton
5838,STURT St at Insignia Blvd,Alfredton
3307,HEIDELBERG NR YARRAFORD,Alphington
3308,HEIDELBERG/CHANDLER/GRANGE,Alphington
3309,HEIDELBERG/YARRALEA,Alphington
3318,GRANGE NR EVANS,Alphington
3256,ESPLANADE BTW PIER/BENT,Altona
3481,PFW/KOROROIT CREEK OB,Altona
3482,KOROROIT CREEK/DRAKE,Altona
3483,PFW SB RAMPS/KOROROIT CREEK,Altona
3484,MAIDSTONE NR GATE 6,Altona
3485,PFW NB RAMPS/KOROROIT CREEK,Altona
3505,QUEEN NR SARGOOD,Altona
3899,KOROROIT CREEK/BURNS,Altona
3475,MERTON NR CENTRAL,Altona Meadows
3476,CENTRAL NR KIORA,Altona Meadows
3478,MERTON/NEWLAND,Altona Meadows
1636,WGF 150m East of Millers Rd Bridge O/B,Altona North
1637,WGF 150m East of Millers Rd Bridge I/B,Altona North
1645,WGF to M80 Exit Ramp,Altona North
1646,WGF 50m East of Prince Hwy Bridge O/B,Altona North
2061,DUOSA RD NR LANGSHAW ST,Altona North
2523,WEST GATE FWY/MILLERS RD O/B,Altona North
2881,WESTGATE FWY/MILLERS,Altona North
2882,MILLERS/DUOSA/MARIGOLD,Altona North
2883,WESTGATE FWY/GRIEVE,Altona North
2893,MILLERS/BEURON,Altona North
3479,DOHERTYS NR WESTGATE,Altona North
3480,KOROROIT CK/MAIDSTONE,Altona North
3499,BLACKSHAWS/MILLS/KYLE,Altona North
3501,MILLERS/BLACKSHAWS,Altona North
3502,MILLERS/MASON,Altona North
3503,MILLERS NR HOBB,Altona North
3506,MILLERS/KOROROIT CRK,Altona North
3508,BLACKSHAWS/CHAMBERS,Altona North
3526,MILLERS/CABOT DRIVE,Altona North
3894,MCARTHURS/BORRACK,Altona North
3900,MILLERS/MCARTHURS,Altona North
3902,BLACKSHAWS NR BEGONIA,Altona North
3904,KOROROIT CREEK/DOW CHEMICAL/PRIXCAR,Altona North
3905,BLACKSHAWS/GRIEVE,Altona North
3906,GRIEVE/THE GATEWAY,Altona North
3907,GRIEVE/PINNACLE/TOYOTA ENT GATE 7,Altona North
3908,GRIEVE/TOYOTA ENT GATE 4,Altona North
3910,GRIEVE/TARAS,Altona North
7538,MILLERS BTW KOROROIT CK & ROSS,Altona North
5365,GREAT OCEAN ROAD NEAR CAMP ROAD,Anglesea
5122,GREAT OCEAN RD NR HARDY,Apollo Bay
5124,GREAT OCEAN RD NR MC LAREN,Apollo Bay
5840,BARKLY/VINCENT,Ararat
5841,BARKLY NR VINCENT,Ararat
5999,WESTERN HWY(HIGH)/PYRENEES(VINCENT),Ararat
1270,M80 GB WESTERN HWY ONRAMP,Ardeer
2573,M80 AB WESTERN HWY ONRAMP,Ardeer
2616,WESTERN HWY/HOLT/G & F ENT,Ardeer
2627,WESTERN HWY/WRR,Ardeer
40014,WRR EAST OF TILBURN GB,Ardeer
40015,WRR WEST OF WESTERN HWY GB,Ardeer
40017,WRR EAST OF WESTERN HWY GB,Ardeer
40018,WRR WEST OF JONES CRK GB,Ardeer
40146,WRR WEST OF JONES CREEK AB,Ardeer
40148,WRR STH OF WESTERN HWY AB,Ardeer
40149,WRR WEST OF WESTERN HWY AB,Ardeer
40150,WRR BTW TILBURN RD AND WESTERN HWY AB,Ardeer
7000,NORTHERN HWY STH OF HEATHCOTE,Argyle
2441,ORRONG NR AVALON,Armadale
3679,STATION NR GLENFERRIE,Armadale
3843,HIGH NR HUNTINGTOWER,Armadale
3848,KOOYONG NR UNION,Armadale
4357,HIGH/GLENFERRIE,Armadale
4759,MALVERN/KOOYONG,Armadale
4766,HIGH/ORRONG,Armadale
4767,HIGH NR CHEEL,Armadale
4768,HIGH/KOOYONG,Armadale
4778,KOOYONG/WATTLETREE,Armadale
4856,WATTLETREE/DUNCRAIG/MALVERN CENTRAL,Armadale
5168,BARWON HEADS ROAD/WARALILY BVD,Armstrong Creek
5351,SURF COAST HWY / ARMSTRONG BLVD,Armstrong Creek
5352,BARWON HEADS ROAD / CENTRAL BLVD,Armstrong Creek
5353,SURF COAST HWY/WHITES RD/WARRALILY RD,Armstrong Creek
5356,SURF COAST HIGHWAY / UNITY DRIVE,Armstrong Creek
5363,BARRABOOL RD / GRR SOUTHBOUND RAMPS,Armstrong Creek
1002,EPSOM/LANGS,Ascot Vale
1011,ASCOT VALE/KENT,Ascot Vale
1014,EPSOM NR ROSEBERRY,Ascot Vale
1166,EPSOM ROAD/SHOPPING CENTRE ACCESS,Ascot Vale
1352,EPSOM/DONCASTER/MIRAMS,Ascot Vale
1430,ASCOT VALE RD between RACECOURSE & DUNCA,Ascot Vale
3518,MT ALEXANDER/TRAM DEPOT,Ascot Vale
3832,ASCOT VALE NR MOONEE,Ascot Vale
3833,MT ALEXANDER NR FENTON,Ascot Vale
3835,MT ALEXANDER NR BARODA,Ascot Vale
3836,UNION NR ST LEONARDS,Ascot Vale
4203,MARIBYRNONG/EPSOM/SCOTIA,Ascot Vale
4204,MARIBYRNONG/UNION,Ascot Vale
4205,MARIBYRNONG/ASCOT VALE,Ascot Vale
4208,UNION NR BLOOMFIELD,Ascot Vale
4209,UNION NR BURROWES,Ascot Vale
4471,MT ALEXANDER/WELLINGTON,Ascot Vale
970,WARRIGAL/HIGH ST RD,Ashburton
1080,HIGH/WARNER,Ashburton
1248,WINTON ROAD / PITT STREET,Ashburton
2044,DUNLOP NEAR FRANCIS,Ashburton
3686,WARRIGAL NR FAKENHAM,Ashburton
3687,WARRIGAL NR POULTER,Ashburton
3816,HIGH NR HIGHGATE,Ashburton
3817,HIGH NR WARD,Ashburton
3818,HIGH NR CAROOL,Ashburton
460,HIGH ST RD/VANNAM/JORDAN,Ashwood
463,HIGH ST RD/HUNTINGDALE,Ashwood
470,HUNTINGDALE NR ROCKLANDS,Ashwood
473,HIGH ST RD NR TECK,Ashwood
211,NEPEAN/STATION,Aspendale
213,NEPEAN NR BAYVIEW,Aspendale
214,NEPEAN/LINCOLN,Aspendale
219,STATION NR LINCOLN,Aspendale
292,STATION NR RETREAT,Aspendale
1440,Station Street / Laura Street,Aspendale
187,WELLS NR LANGSLOW,Aspendale Gardens
280,SPRINGVALE/MORNINGTON PENINSULA FWY,Aspendale Gardens
281,SPRINGVALE/WELLS/EDITHVALE,Aspendale Gardens
309,WELLS/PALM/NARELLE,Aspendale Gardens
312,WELLS/NURTEN/ROYAL PALMS,Aspendale Gardens
2857,MICKLEHAM/ALANBRAE/CAMBRIDGE,Attwood
2894,MICKLEHAM/DPI DRIVEWAY,Attwood
2716,CANNING/MILITARY,Avondale Heights
2737,MILITARY/TEMPLEWOOD,Avondale Heights
2795,MILITARY NR RIVERSIDE,Avondale Heights
2849,CANNING/OLD CANNING/RETIREMENT VILLAGE,Avondale Heights
3047,BUCKLEY/DICKSON,Avondale Heights
4314,MILLEARA NR CHAUMONT,Avondale Heights
4315,MILITARY/DAVIS,Avondale Heights
4316,MILITARY NR CLARENDON,Avondale Heights
5799,GISBOURNE NR LERDERDERG,Bacchus Marsh
5800,BACCHUS MARSH-GISBORNE NR MAIN,Bacchus Marsh
5801,WESTERN FWY/BACCHUS MARSH-GISBORNE,Bacchus Marsh
5803,WESTERN HWY/GRANT/GISBORNE,Bacchus Marsh
5804,MAIN NR GISBORNE,Bacchus Marsh
5805,MAIN NR GRAHAM,Bacchus Marsh
5831,GRANT NR PILMER,Bacchus Marsh
5654,PHE/SERVICE,Bairnsdale
5655,PHE(NTH) NR SERVICE,Bairnsdale
5657,PHE/BAILEY,Bairnsdale
5659,PHE/MCCULLOCH,Bairnsdale
5807,MAIR/HUMFFRAY,Bakery Hill
5876,BALLARAT-BUNINYONG/BARKLY,Bakery Hill
5913,MAIR/PEEL,Bakery Hill
2308,NEPEAN/CHAPEL,Balaclava
4837,CARLISLE/WESTBURY,Balaclava
