,site_id,site_name,geometry
3918,3445,OLYMPIC BLVD(SWAN) NR BATMAN,POINT (144.980896932564 -37.8235988378246)
3744,2990,MCG ACCESS/BRUNTON,POINT (144.982455933043 -37.8206738375734)
92,3409,OLYMPIC BLVD/RECTANGULAR STADIUM EAST AC,POINT (144.985050931699 -37.824132837996)
2035,4551,SWAN ST BRIDGE/BATMAN/OLYMPIC BLVD,POINT (144.978538932869 -37.8233138372426)
162,4558,OLYMPIC BLVD(SWAN)/TRAM ACCESS,POINT (144.98671493125 -37.82432883844)
2034,4550,ALEXANDRA/SWAN BRIDGE.,POINT (144.976649933262 -37.8231818373295)
816,3408,OLYMPIC BLVD/MELBOURNE PARK ENT D,POINT (144.987969930868 -37.8245038380023)
103,4557,BATMAN NR GATE 2 MELBOURNE PARK TENNIS C,POINT (144.976225933887 -37.8203698376491)
2670,3392,PUNT/BRUNTON,POINT (144.989110930765 -37.8230338384045)
2671,3393,PUNT/SWAN,POINT (144.988860930493 -37.8245888379859)
746,4552,ALEXANDRA/ANDERSON,POINT (144.98485893141 -37.8283338376584)
392,1038,PUNT/GATE 6,POINT (144.989392931202 -37.8214368381349)
200,4529,MELBOURNE PARK NTH ACCESS/FED SQ ACCESS,POINT (144.976390934307 -37.8183928377951)
2669,3391,PUNT/ROWENA,POINT (144.989588931465 -37.8202858382167)
1228,4452,WELLINGTON NR AGNES,POINT (144.980153932942 -37.816575837829)
745,4549,ALEXANDRA/LINLITHGOW,POINT (144.973718933993 -37.8216158368941)
199,4528,BATMAN/MELB PARK NTH ACCESS,POINT (144.975681934226 -37.818485837288)
1349,1052,WELLINGTON/CLARENDON,POINT (144.982619933143 -37.8160818382027)
4342,1586,Wellington Parade near Powlett Street,POINT (144.984005932193 -37.816231838247)
1227,4451,WELLINGTON STH/JOLIMONT,POINT (144.978987933914 -37.8164498374996)
1229,4453,WELLINGTON/POWLETT,POINT (144.985192932234 -37.8163678377139)
217,3394,MONASH ON RAMP NR PUNT,POINT (144.98813993095 -37.8288518381195)
3068,2934,WELLINGTON/JOLIMONT,POINT (144.979117933664 -37.8156938380291)
2897,3861,SWAN/CREMORNE,POINT (144.991565930289 -37.8249458387598)
1231,4457,WELLINGTON NR SIMPSON,POINT (144.98798693249 -37.8168248382258)
3917,3973,LINLITHGOW NR ST KILDA,POINT (144.972019934239 -37.8224208369809)
4400,4454,WELLINGTON/LANSDOWNE,POINT (144.977363934263 -37.8154998373191)
2168,3390,PUNT/BRIDGE/HODDLE/WELLINGTON,POINT (144.990018931707 -37.8175418384335)
2445,3395,PUNT/ALEXANDRA,POINT (144.987850930687 -37.8306198382817)
2033,4533,ST KILDA NR GRANT,POINT (144.97085093393 -37.8248648375127)
2620,4807,SWAN/LENNOX,POINT (144.993394929944 -37.8251628387189)
2032,4532,ST KILDA/SOUTHBANK,POINT (144.970133934913 -37.8233028370533)
1846,3867,LENNOX NR RICHMOND,POINT (144.993936930818 -37.8219798391213)
3480,2932,WELLINGTON/SPRING/FLINDERS,POINT (144.974872934447 -37.8152768375011)
3070,2936,ST KILDA NR SOUTHBANK (NOLAN),POINT (144.969768934195 -37.8225088367003)
243,4534,ST KILDA NR COVENTRY,POINT (144.971367933637 -37.8282388370711)
206,3868,BRIDGE NR VERITY,POINT (144.992669930541 -37.8178358388985)
1193,2931,FLINDERS/WELLINGTON STH,POINT (144.973639934488 -37.8156268371766)
2008,3389,HODDLE/FREEMAN,POINT (144.990372931734 -37.8153178386885)
747,4555,ANDERSON NR ACLAND,POINT (144.983888930561 -37.8332488381052)
748,4560,EXHIBITION/FLINDERS,POINT (144.972387935011 -37.8159968373595)
1847,3869,ERIN NR NORMANBY,POINT (144.992253930811 -37.8165128382924)
4474,2024,SPRING / FLINDERS LANE,POINT (144.974415934564 -37.8142898369041)
743,4547,DOMAIN NR DOMAIN,POINT (144.977486932204 -37.8334768380661)
2007,3388,HODDLE NR HOTHAM,POINT (144.990503931963 -37.8144358383111)
744,4548,DOMAIN/PARK/BIRDWOOD,POINT (144.98252993056 -37.8341328384182)
2632,4819,SWAN NR WAVERLEY,POINT (144.995626929873 -37.8254138389437)
244,4535,ST KILDA NR DORCAS,POINT (144.971342933969 -37.8302728372121)
4459,1711,Flinders Street near Russell Street,POINT (144.970676934494 -37.8164948366843)
910,4800,BRIDGE/LENNOX,POINT (144.994629931073 -37.8180528385508)
242,4531,ST KILDA NR CONCERT HALL,POINT (144.968439934604 -37.819607836555)
3389,4889,STURT/KAVANAGH,POINT (144.967699934498 -37.8223408364702)
753,4568,EXHIBITION/FLINDERS LANE,POINT (144.971929934633 -37.8150088371525)
1135,2988,LANSDOWNE/ST ANDREWS,POINT (144.977944933789 -37.8121148377411)
2462,4561,RUSSELL/FLINDERS,POINT (144.969908934883 -37.8167228372961)
581,4888,STURT/SOUTHBANK,POINT (144.967317934407 -37.8236218365704)
939,4575,SPRING/COLLINS,POINT (144.973958935267 -37.8133028368604)
